title,cast,genres,combined
wing chun,Michelle Yeoh Donnie Yen Waise Lee Kingdom Yuen Catherine Hung Yan,Action Comedy Romance Foreign,Action Comedy Romance Foreign Michelle Yeoh Donnie Yen Waise Lee Kingdom Yuen Catherine Hung Yan
hercules and the lost kingdom,Kevin Sorbo Anthony Quinn Renee O'Connor,Action Adventure Fantasy TV Movie,Action Adventure Fantasy TV Movie Kevin Sorbo Anthony Quinn Renee O'Connor
when a man loves a woman,Andy GarcÃ­a Meg Ryan Ellen Burstyn Tina Majorino Philip Seymour Hoffman,Drama Romance,Drama Romance Andy GarcÃ­a Meg Ryan Ellen Burstyn Tina Majorino Philip Seymour Hoffman
hercules and the circle of fire,Kevin Sorbo Anthony Quinn Tawny Kitaen,Action Adventure Fantasy TV Movie,Action Adventure Fantasy TV Movie Kevin Sorbo Anthony Quinn Tawny Kitaen
wagons east!,Joe Bays Abraham Benrubi Jill Boyd John Candy Douglas Carlson,Action Adventure Comedy Western,Action Adventure Comedy Western Joe Bays Abraham Benrubi Jill Boyd John Candy Douglas Carlson
hercules in the maze of the minotaur,Kevin Sorbo Anthony Quinn Tawny Kitaen Michael Hurst Anthony Ray Parker,Action Adventure Fantasy TV Movie,Action Adventure Fantasy TV Movie Kevin Sorbo Anthony Quinn Tawny Kitaen Michael Hurst Anthony Ray Parker
the avengers,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Science Fiction Action Adventure,Science Fiction Action Adventure Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson
underworld: awakening,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,Fantasy Action Horror,Fantasy Action Horror Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley
the dark knight rises,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Action Crime Drama Thriller,Action Crime Drama Thriller Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy
django unchained,Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington Samuel L. Jackson,Drama Western,Drama Western Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington Samuel L. Jackson
skyfall,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Action Adventure Thriller,Action Adventure Thriller Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris
the bourne legacy,Jeremy Renner Rachel Weisz Edward Norton Scott Glenn Stacy Keach,Action Thriller,Action Thriller Jeremy Renner Rachel Weisz Edward Norton Scott Glenn Stacy Keach
the hobbit: an unexpected journey,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Adventure Fantasy Action,Adventure Fantasy Action Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett
prometheus,Noomi Rapace Michael Fassbender Charlize Theron Idris Elba Guy Pearce,Science Fiction Adventure Mystery,Science Fiction Adventure Mystery Noomi Rapace Michael Fassbender Charlize Theron Idris Elba Guy Pearce
silver linings playbook,Bradley Cooper Jennifer Lawrence Robert De Niro Jacki Weaver Chris Tucker,Drama Comedy Romance,Drama Comedy Romance Bradley Cooper Jennifer Lawrence Robert De Niro Jacki Weaver Chris Tucker
the amazing spider-man,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Martin Sheen,Action Adventure Fantasy,Action Adventure Fantasy Andrew Garfield Emma Stone Rhys Ifans Denis Leary Martin Sheen
brave,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Animation Adventure Comedy Family Action,Animation Adventure Comedy Family Action Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd
snow white and the huntsman,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Adventure Fantasy Drama,Adventure Fantasy Drama Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane
21 jump street,Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper,Action Comedy Crime,Action Comedy Crime Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper
life of pi,Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain,Adventure Drama Action,Adventure Drama Action Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain
ice age: continental drift,John Leguizamo Ray Romano Chris Wedge Denis Leary Seann William Scott,Animation Comedy Adventure Family,Animation Comedy Adventure Family John Leguizamo Ray Romano Chris Wedge Denis Leary Seann William Scott
ted,Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale Giovanni Ribisi,Comedy Fantasy,Comedy Fantasy Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale Giovanni Ribisi
jack reacher,Tom Cruise Rosamund Pike Richard Jenkins David Oyelowo Werner Herzog,Crime Drama Thriller,Crime Drama Thriller Tom Cruise Rosamund Pike Richard Jenkins David Oyelowo Werner Herzog
lo imposible,Naomi Watts Ewan McGregor Tom Holland Samuel Joslin Oaklee Pendergast,Drama,Drama Naomi Watts Ewan McGregor Tom Holland Samuel Joslin Oaklee Pendergast
wreck-it ralph,John C. Reilly Sarah Silverman Jane Lynch Jack McBrayer Jamie Elman,Family Animation Comedy Adventure,Family Animation Comedy Adventure John C. Reilly Sarah Silverman Jane Lynch Jack McBrayer Jamie Elman
pitch perfect,Anna Kendrick Skylar Astin Brittany Snow Anna Camp Rebel Wilson,Comedy Music Romance,Comedy Music Romance Anna Kendrick Skylar Astin Brittany Snow Anna Camp Rebel Wilson
men in black 3,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Action Comedy Science Fiction,Action Comedy Science Fiction Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson
the hunger games,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Science Fiction Adventure Fantasy,Science Fiction Adventure Fantasy Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks
total recall,Colin Farrell Kate Beckinsale Jessica Biel Bryan Cranston Bill Nighy,Action Science Fiction Adventure Thriller,Action Science Fiction Adventure Thriller Colin Farrell Kate Beckinsale Jessica Biel Bryan Cranston Bill Nighy
cloud atlas,Tom Hanks Halle Berry Jim Broadbent Hugo Weaving Jim Sturgess,Drama Science Fiction,Drama Science Fiction Tom Hanks Halle Berry Jim Broadbent Hugo Weaving Jim Sturgess
the expendables 2,Sylvester Stallone Jason Statham Dolph Lundgren Bruce Willis Arnold Schwarzenegger,Action Adventure Thriller,Action Adventure Thriller Sylvester Stallone Jason Statham Dolph Lundgren Bruce Willis Arnold Schwarzenegger
taken 2,Liam Neeson Maggie Grace Famke Janssen Rade Serbedzija Luke Grimes,Action Thriller Crime Drama,Action Thriller Crime Drama Liam Neeson Maggie Grace Famke Janssen Rade Serbedzija Luke Grimes
dark shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Comedy Fantasy,Comedy Fantasy Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller
the perks of being a wallflower,Logan Lerman Emma Watson Ezra Miller Paul Rudd Nina Dobrev,Drama Romance,Drama Romance Logan Lerman Emma Watson Ezra Miller Paul Rudd Nina Dobrev
argo,Ben Affleck Bryan Cranston Alan Arkin John Goodman Victor Garber,Drama Thriller,Drama Thriller Ben Affleck Bryan Cranston Alan Arkin John Goodman Victor Garber
american reunion,Jason Biggs Alyson Hannigan Seann William Scott Chris Klein Thomas Ian Nicholas,Comedy,Comedy Jason Biggs Alyson Hannigan Seann William Scott Chris Klein Thomas Ian Nicholas
magic mike,Channing Tatum Matthew McConaughey Olivia Munn Cody Horn Alex Pettyfer,Drama Comedy,Drama Comedy Channing Tatum Matthew McConaughey Olivia Munn Cody Horn Alex Pettyfer
the cabin in the woods,Kristen Connolly Chris Hemsworth Anna Hutchison Fran Kranz Jesse Williams,Horror Thriller,Horror Thriller Kristen Connolly Chris Hemsworth Anna Hutchison Fran Kranz Jesse Williams
rise of the guardians,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Fantasy Animation Family,Fantasy Animation Family Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman
the vow,Rachel McAdams Channing Tatum Sam Neill Scott Speedman Jessica Lange,Drama Romance,Drama Romance Rachel McAdams Channing Tatum Sam Neill Scott Speedman Jessica Lange
journey 2: the mysterious island,Dwayne Johnson Josh Hutcherson Kristin Davis Vanessa Hudgens Luis GuzmÃ¡n,Adventure Action Science Fiction,Adventure Action Science Fiction Dwayne Johnson Josh Hutcherson Kristin Davis Vanessa Hudgens Luis GuzmÃ¡n
the paperboy,Zac Efron Matthew McConaughey Nicole Kidman John Cusack David Oyelowo,Thriller,Thriller Zac Efron Matthew McConaughey Nicole Kidman John Cusack David Oyelowo
safe,Jason Statham Chris Sarandon James Hong Catherine Chan Robert John Burke,Action Crime Thriller,Action Crime Thriller Jason Statham Chris Sarandon James Hong Catherine Chan Robert John Burke
abraham lincoln: vampire hunter,Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell,Action Horror Fantasy,Action Horror Fantasy Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell
