title,cast,genres,combined
superman iii,Christopher Reeve Richard Pryor Jackie Cooper Marc McClure Annette O'Toole,Comedy Action Adventure Fantasy Science Fiction,Comedy Action Adventure Fantasy Science Fiction Christopher Reeve Richard Pryor Jackie Cooper Marc McClure Annette O'Toole
trading places,Eddie Murphy Dan Aykroyd Jamie Lee Curtis Denholm Elliott Ralph Bellamy,Comedy Drama,Comedy Drama Eddie Murphy Dan Aykroyd Jamie Lee Curtis Denholm Elliott Ralph Bellamy
wargames,Matthew Broderick Dabney Coleman Ally Sheedy John Wood Barry Corbin,Thriller Science Fiction,Thriller Science Fiction Matthew Broderick Dabney Coleman Ally Sheedy John Wood Barry Corbin
national lampoon's vacation,Chevy Chase Beverly D'Angelo Imogene Coca Randy Quaid Anthony Michael Hall,Comedy Adventure Romance,Comedy Adventure Romance Chevy Chase Beverly D'Angelo Imogene Coca Randy Quaid Anthony Michael Hall
jaws 3,"Dennis Quaid Bess Armstrong Simon MacCorkindale Louis Gossett, Jr. John Putch",Horror,"Horror Dennis Quaid Bess Armstrong Simon MacCorkindale Louis Gossett, Jr. John Putch"
the meaning of life,Terry Gilliam Graham Chapman John Cleese Eric Idle Terry Jones,Comedy,Comedy Terry Gilliam Graham Chapman John Cleese Eric Idle Terry Jones
terms of endearment,Shirley MacLaine Debra Winger Jack Nicholson Danny DeVito Jeff Daniels,Drama Comedy,Drama Comedy Shirley MacLaine Debra Winger Jack Nicholson Danny DeVito Jeff Daniels
private school,Phoebe Cates Betsy Russell Matthew Modine Michael Zorek Fran Ryan,Comedy Romance,Comedy Romance Phoebe Cates Betsy Russell Matthew Modine Michael Zorek Fran Ryan
sudden impact,Clint Eastwood Sondra Locke Pat Hingle Bradford Dillman Paul Drake,Action Crime Thriller,Action Crime Thriller Clint Eastwood Sondra Locke Pat Hingle Bradford Dillman Paul Drake
risky business,Tom Cruise Rebecca De Mornay Joe Pantoliano Richard Masur Curtis Armstrong,Comedy Romance,Comedy Romance Tom Cruise Rebecca De Mornay Joe Pantoliano Richard Masur Curtis Armstrong
the right stuff,Fred Ward Dennis Quaid Ed Harris Scott Glenn Sam Shepard,Drama History,Drama History Fred Ward Dennis Quaid Ed Harris Scott Glenn Sam Shepard
breathless,Richard Gere ValÃ©rie Kaprisky Art Metrano John P. Ryan William Tepper,Action Drama Romance Thriller,Action Drama Romance Thriller Richard Gere ValÃ©rie Kaprisky Art Metrano John P. Ryan William Tepper
yellowbeard,Graham Chapman Martin Hewitt Eric Idle Peter Cook Michael Hordern,Comedy Adventure,Comedy Adventure Graham Chapman Martin Hewitt Eric Idle Peter Cook Michael Hordern
mickey's christmas carol,Alan Young Wayne Allwine Clarence Nash Hal Smith Will Ryan,Family Animation,Family Animation Alan Young Wayne Allwine Clarence Nash Hal Smith Will Ryan
still smokin,Cheech Marin Tommy Chong Hans Man in 't Veld Carol van Herwijnen Shireen Strooker,Comedy,Comedy Cheech Marin Tommy Chong Hans Man in 't Veld Carol van Herwijnen Shireen Strooker
the hunger,Catherine Deneuve David Bowie Susan Sarandon Cliff DeYoung Beth Ehlers,Horror Thriller Romance,Horror Thriller Romance Catherine Deneuve David Bowie Susan Sarandon Cliff DeYoung Beth Ehlers
christine,Keith Gordon John Stockwell Alexandra Paul Robert Prosky Harry Dean Stanton,Mystery Drama Horror Thriller,Mystery Drama Horror Thriller Keith Gordon John Stockwell Alexandra Paul Robert Prosky Harry Dean Stanton
the outsiders,Matt Dillon Ralph Macchio C. Thomas Howell Patrick Swayze Rob Lowe,Crime Drama,Crime Drama Matt Dillon Ralph Macchio C. Thomas Howell Patrick Swayze Rob Lowe
porky's ii: the next day,Dan Monahan Wyatt Knight Mark Herrier Roger Wilson Cyril O'Reilly,Comedy,Comedy Dan Monahan Wyatt Knight Mark Herrier Roger Wilson Cyril O'Reilly
under fire,Nick Nolte Ed Harris Gene Hackman Joanna Cassidy Jean-Louis Trintignant,War Drama,War Drama Nick Nolte Ed Harris Gene Hackman Joanna Cassidy Jean-Louis Trintignant
the man with two brains,Steve Martin Kathleen Turner David Warner Paul Benedict Richard Brestoff,Comedy Romance Science Fiction,Comedy Romance Science Fiction Steve Martin Kathleen Turner David Warner Paul Benedict Richard Brestoff
the day after,Jason Robards John Cullum JoBeth Williams Steve Guttenberg John Lithgow,Science Fiction Drama,Science Fiction Drama Jason Robards John Cullum JoBeth Williams Steve Guttenberg John Lithgow
cujo,Dee Wallace Danny Pintauro Daniel Hugh Kelly Christopher Stone Ed Lauter,Horror Thriller,Horror Thriller Dee Wallace Danny Pintauro Daniel Hugh Kelly Christopher Stone Ed Lauter
yentl,Barbra Streisand Mandy Patinkin Amy Irving Nehemiah Persoff Steven Hill,Music Drama Romance,Music Drama Romance Barbra Streisand Mandy Patinkin Amy Irving Nehemiah Persoff Steven Hill
blue thunder,Roy Scheider Warren Oates Candy Clark Daniel Stern Paul Roebling,Science Fiction Action Thriller Crime Drama,Science Fiction Action Thriller Crime Drama Roy Scheider Warren Oates Candy Clark Daniel Stern Paul Roebling
the dead zone,Christopher Walken Brooke Adams Tom Skerritt Martin Sheen Herbert Lom,Thriller Horror Science Fiction,Thriller Horror Science Fiction Christopher Walken Brooke Adams Tom Skerritt Martin Sheen Herbert Lom
valley girl,Nicolas Cage E.G. Daily Deborah Foreman Michael Bowen Cameron Dye,Comedy Romance,Comedy Romance Nicolas Cage E.G. Daily Deborah Foreman Michael Bowen Cameron Dye
all the right moves,Tom Cruise Craig T. Nelson Lea Thompson Charles Cioffi Gary Graham,Romance Drama,Romance Drama Tom Cruise Craig T. Nelson Lea Thompson Charles Cioffi Gary Graham
zelig,Woody Allen Mia Farrow John Buckwalter Patrick Horgan Marvin Chatinover,Comedy,Comedy Woody Allen Mia Farrow John Buckwalter Patrick Horgan Marvin Chatinover
gorky park,William Hurt Lee Marvin Brian Dennehy Joanna Pacula Michael Elphick,Thriller Crime Drama,Thriller Crime Drama William Hurt Lee Marvin Brian Dennehy Joanna Pacula Michael Elphick
screwballs,Peter Keleghan Kent Deuters Linda Speciale Alan Deveau Linda Shayne,Comedy,Comedy Peter Keleghan Kent Deuters Linda Speciale Alan Deveau Linda Shayne
flashdance,Jennifer Beals Michael Nouri Lilia Skala Kyle T. Heffner Sunny Johnson,Drama Music Romance,Drama Music Romance Jennifer Beals Michael Nouri Lilia Skala Kyle T. Heffner Sunny Johnson
silkwood,Meryl Streep Kurt Russell Cher Craig T. Nelson Fred Ward,Drama Thriller,Drama Thriller Meryl Streep Kurt Russell Cher Craig T. Nelson Fred Ward
curse of the pink panther,David Niven Robert Wagner Herbert Lom Joanna Lumley Capucine,Comedy,Comedy David Niven Robert Wagner Herbert Lom Joanna Lumley Capucine
smokey and the bandit part 3,Jackie Gleason Jerry Reed Paul Williams Pat McCormick Colleen Camp,Action Comedy Crime,Action Comedy Crime Jackie Gleason Jerry Reed Paul Williams Pat McCormick Colleen Camp
amityville 3-d,Tony Roberts Tess Harper Robert Joy Candy Clark Leora Dana,Horror Thriller,Horror Thriller Tony Roberts Tess Harper Robert Joy Candy Clark Leora Dana
twilight zone: the movie,Albert Brooks Vic Morrow John Larroquette John Lithgow Dan Aykroyd,Drama Fantasy Horror Science Fiction Thriller,Drama Fantasy Horror Science Fiction Thriller Albert Brooks Vic Morrow John Larroquette John Lithgow Dan Aykroyd
to be or not to be,Mel Brooks Anne Bancroft Tim Matheson Charles Durning Christopher Lloyd,Comedy,Comedy Mel Brooks Anne Bancroft Tim Matheson Charles Durning Christopher Lloyd
educating rita,Michael Caine Julie Walters Michael Williams Maureen Lipman,Drama Comedy Romance,Drama Comedy Romance Michael Caine Julie Walters Michael Williams Maureen Lipman
krull,Ken Marshall Lysette Anthony Francesca Annis Alun Armstrong David Battley,Fantasy Action Adventure,Fantasy Action Adventure Ken Marshall Lysette Anthony Francesca Annis Alun Armstrong David Battley
rumble fish,Matt Dillon Mickey Rourke Diane Lane Dennis Hopper Diana Scarwid,Action Adventure Crime Drama Romance,Action Adventure Crime Drama Romance Matt Dillon Mickey Rourke Diane Lane Dennis Hopper Diana Scarwid
staying alive,John Travolta Cynthia Rhodes Finola Hughes Steve Inwood Julie Bovasso,Drama Action Music Romance,Drama Action Music Romance John Travolta Cynthia Rhodes Finola Hughes Steve Inwood Julie Bovasso
lone wolf mcquade,Chuck Norris David Carradine Barbara Carrera Leon Isaac Kennedy Dana Kimmell,Action Thriller Drama Western Crime,Action Thriller Drama Western Crime Chuck Norris David Carradine Barbara Carrera Leon Isaac Kennedy Dana Kimmell
the big chill,Tom Berenger Glenn Close Jeff Goldblum William Hurt Kevin Kline,Comedy Drama,Comedy Drama Tom Berenger Glenn Close Jeff Goldblum William Hurt Kevin Kline
psycho ii,Anthony Perkins Vera Miles Meg Tilly Robert Loggia Dennis Franz,Horror Mystery Thriller,Horror Mystery Thriller Anthony Perkins Vera Miles Meg Tilly Robert Loggia Dennis Franz
losin' it,"Tom Cruise Jackie Earle Haley John Stockwell John P. Navin, Jr. Shelley Long",Comedy,"Comedy Tom Cruise Jackie Earle Haley John Stockwell John P. Navin, Jr. Shelley Long"
v,Marc Singer Faye Grant Jane Badler Michael Durrell Blair Tefkin,Drama Science Fiction Action Adventure,Drama Science Fiction Action Adventure Marc Singer Faye Grant Jane Badler Michael Durrell Blair Tefkin
videodrome,James Woods Sonja Smits Deborah Harry Peter Dvorsky Jack Creley,Horror Mystery Science Fiction,Horror Mystery Science Fiction James Woods Sonja Smits Deborah Harry Peter Dvorsky Jack Creley
two of a kind,John Travolta Olivia Newton-John Charles Durning Oliver Reed Scatman Crothers,Fantasy Comedy Science Fiction Romance,Fantasy Comedy Science Fiction Romance John Travolta Olivia Newton-John Charles Durning Oliver Reed Scatman Crothers
the osterman weekend,Rutger Hauer John Hurt Craig T. Nelson Dennis Hopper Chris Sarandon,Action Drama Thriller,Action Drama Thriller Rutger Hauer John Hurt Craig T. Nelson Dennis Hopper Chris Sarandon
deathstalker,Rick Hill Barbi Benton Richard Brooker Lana Clarkson Victor Bo,Action Fantasy,Action Fantasy Rick Hill Barbi Benton Richard Brooker Lana Clarkson Victor Bo
michael jackson's thriller,Michael Jackson Ola Ray Vincent Price,Horror Music,Horror Music Michael Jackson Ola Ray Vincent Price
local hero,Burt Lancaster Peter Riegert Fulton Mackay Denis Lawson Norman Chancer,Comedy Drama,Comedy Drama Burt Lancaster Peter Riegert Fulton Mackay Denis Lawson Norman Chancer
never cry wolf,Charles Martin Smith Zachary Ittimangnaq Samson Jorah Hugh Webster Brian Dennehy,Action Adventure Drama,Action Adventure Drama Charles Martin Smith Zachary Ittimangnaq Samson Jorah Hugh Webster Brian Dennehy
fire and ice,Randy Norton Cynthia Leake Steve Sandor Sean Hannon Leo Gordon,Animation Fantasy Science Fiction,Animation Fantasy Science Fiction Randy Norton Cynthia Leake Steve Sandor Sean Hannon Leo Gordon
rock & rule,Don Francks Susan Roman Paul Le Mat Samantha Langevin Dan Hennessey,Action Adventure Animation Fantasy Science Fiction,Action Adventure Animation Fantasy Science Fiction Don Francks Susan Roman Paul Le Mat Samantha Langevin Dan Hennessey
the star chamber,Michael Douglas Hal Holbrook Yaphet Kotto Sharon Gless Michael Ensign,Action Crime Drama Thriller,Action Crime Drama Thriller Michael Douglas Hal Holbrook Yaphet Kotto Sharon Gless Michael Ensign
bad boys,Sean Penn Reni Santoni Jim Moody Eric Gurry Esai Morales,Crime Drama Thriller,Crime Drama Thriller Sean Penn Reni Santoni Jim Moody Eric Gurry Esai Morales
brainstorm,Christopher Walken Natalie Wood Louise Fletcher Cliff Robertson Jason Lively,Science Fiction Thriller,Science Fiction Thriller Christopher Walken Natalie Wood Louise Fletcher Cliff Robertson Jason Lively
class,Jacqueline Bisset Rob Lowe Andrew McCarthy Cliff Robertson Stuart Margolin,Comedy Drama,Comedy Drama Jacqueline Bisset Rob Lowe Andrew McCarthy Cliff Robertson Stuart Margolin
strange brew,Dave Thomas Rick Moranis Max von Sydow Paul Dooley Lynne Griffin,Comedy,Comedy Dave Thomas Rick Moranis Max von Sydow Paul Dooley Lynne Griffin
acqua e sapone,Carlo Verdone Natasha Hovey Glenn Saxson Elena Fabrizi Fabrizio Bracconeri,Drama Family,Drama Family Carlo Verdone Natasha Hovey Glenn Saxson Elena Fabrizi Fabrizio Bracconeri
the keep,Scott Glenn Alberta Watson JÃ¼rgen Prochnow Robert Prosky Gabriel Byrne,Drama Foreign Horror,Drama Foreign Horror Scott Glenn Alberta Watson JÃ¼rgen Prochnow Robert Prosky Gabriel Byrne
eddie and the cruisers,Tom Berenger Michael ParÃ© Joe Pantoliano Ellen Barkin Matthew Laurance,Drama Music,Drama Music Tom Berenger Michael ParÃ© Joe Pantoliano Ellen Barkin Matthew Laurance
mr. mom,Michael Keaton Teri Garr Fred Koehler Taliesin Jaffe Courtney-Jane White,Comedy Drama Family,Comedy Drama Family Michael Keaton Teri Garr Fred Koehler Taliesin Jaffe Courtney-Jane White
bmx bandits,Nicole Kidman James Lugton Angelo D'Angelo David Argue John Ley,Adventure Crime Drama,Adventure Crime Drama Nicole Kidman James Lugton Angelo D'Angelo David Argue John Ley
something wicked this way comes,Jason Robards Jonathan Pryce Diane Ladd Royal Dano Vidal Peterson,Fantasy Mystery Thriller,Fantasy Mystery Thriller Jason Robards Jonathan Pryce Diane Ladd Royal Dano Vidal Peterson
sleepaway camp,Felissa Rose Jonathan Tiersten Karen Fields Christopher Collet Mike Kellin,Horror,Horror Felissa Rose Jonathan Tiersten Karen Fields Christopher Collet Mike Kellin
meantime,Phil Daniels Tim Roth Jeffrey Robert Pam Ferris Gary Oldman,TV Movie Comedy Drama,TV Movie Comedy Drama Phil Daniels Tim Roth Jeffrey Robert Pam Ferris Gary Oldman
the house on sorority row,Kate McNeil Eileen Davidson Janis Ward Robin Meloy Harley Jane Kozak,Horror Mystery Thriller,Horror Mystery Thriller Kate McNeil Eileen Davidson Janis Ward Robin Meloy Harley Jane Kozak
metalstorm: the destruction of jared-syn,Jeffrey Byron Michael Preston Tim Thomerson Kelly Preston Richard Moll,Fantasy Science Fiction,Fantasy Science Fiction Jeffrey Byron Michael Preston Tim Thomerson Kelly Preston Richard Moll
hercules,Lou Ferrigno Sybil Danning Brad Harris Bobby Rhodes Ingrid Anderson,Action Fantasy,Action Fantasy Lou Ferrigno Sybil Danning Brad Harris Bobby Rhodes Ingrid Anderson
uncommon valor,Gene Hackman Fred Ward Robert Stack Patrick Swayze Harold Sylvester,Action Adventure Drama Thriller,Action Adventure Drama Thriller Gene Hackman Fred Ward Robert Stack Patrick Swayze Harold Sylvester
eddie murphy: delirious,Eddie Murphy James Argiro,Comedy,Comedy Eddie Murphy James Argiro
spacehunter: adventures in the forbidden zone,Peter Strauss Molly Ringwald Michael Ironside Ernie Hudson Deborah Pratt,Adventure Science Fiction,Adventure Science Fiction Peter Strauss Molly Ringwald Michael Ironside Ernie Hudson Deborah Pratt
se7en,Brad Pitt Morgan Freeman Gwyneth Paltrow John C. McGinley Kevin Spacey,Crime Mystery Thriller,Crime Mystery Thriller Brad Pitt Morgan Freeman Gwyneth Paltrow John C. McGinley Kevin Spacey
toy story,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,Animation Comedy Family,Animation Comedy Family Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn
the usual suspects,Stephen Baldwin Gabriel Byrne Chazz Palminteri Kevin Pollak Pete Postlethwaite,Drama Crime Thriller,Drama Crime Thriller Stephen Baldwin Gabriel Byrne Chazz Palminteri Kevin Pollak Pete Postlethwaite
braveheart,Mel Gibson Catherine McCormack Sophie Marceau Patrick McGoohan Angus Macfadyen,Action Drama History War,Action Drama History War Mel Gibson Catherine McCormack Sophie Marceau Patrick McGoohan Angus Macfadyen
goldeneye,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Adventure Action Thriller,Adventure Action Thriller Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker
jumanji,Robin Williams Jonathan Hyde Kirsten Dunst Bradley Pierce Bonnie Hunt,Adventure Fantasy Family,Adventure Fantasy Family Robin Williams Jonathan Hyde Kirsten Dunst Bradley Pierce Bonnie Hunt
die hard: with a vengeance,Bruce Willis Jeremy Irons Samuel L. Jackson Graham Greene Colleen Camp,Action Thriller,Action Thriller Bruce Willis Jeremy Irons Samuel L. Jackson Graham Greene Colleen Camp
species,Natasha Henstridge Ben Kingsley Michael Madsen Alfred Molina Forest Whitaker,Science Fiction Horror Action,Science Fiction Horror Action Natasha Henstridge Ben Kingsley Michael Madsen Alfred Molina Forest Whitaker
twelve monkeys,Bruce Willis Madeleine Stowe Brad Pitt Christopher Plummer David Morse,Science Fiction Thriller Mystery,Science Fiction Thriller Mystery Bruce Willis Madeleine Stowe Brad Pitt Christopher Plummer David Morse
apollo 13,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris,Drama,Drama Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris
bad boys,Will Smith Martin Lawrence TÃ©a Leoni TchÃ©ky Karyo Joe Pantoliano,Adventure Drama Action Comedy Thriller,Adventure Drama Action Comedy Thriller Will Smith Martin Lawrence TÃ©a Leoni TchÃ©ky Karyo Joe Pantoliano
pocahontas,Irene Bedard Mel Gibson David Ogden Stiers John Kassir Russell Means,Adventure Animation Drama Family,Adventure Animation Drama Family Irene Bedard Mel Gibson David Ogden Stiers John Kassir Russell Means
heat,Al Pacino Robert De Niro Val Kilmer Jon Voight Tom Sizemore,Action Crime Drama Thriller,Action Crime Drama Thriller Al Pacino Robert De Niro Val Kilmer Jon Voight Tom Sizemore
before sunrise,Ethan Hawke Julie Delpy Andrea Eckert Hanno PÃ¶schl Karl Bruckschwaiger,Drama Romance,Drama Romance Ethan Hawke Julie Delpy Andrea Eckert Hanno PÃ¶schl Karl Bruckschwaiger
judge dredd,Sylvester Stallone Diane Lane Armand Assante Rob Schneider JÃ¼rgen Prochnow,Science Fiction,Science Fiction Sylvester Stallone Diane Lane Armand Assante Rob Schneider JÃ¼rgen Prochnow
batman forever,Val Kilmer Tommy Lee Jones Jim Carrey Nicole Kidman Chris O'Donnell,Science Fiction Fantasy Action Crime,Science Fiction Fantasy Action Crime Val Kilmer Tommy Lee Jones Jim Carrey Nicole Kidman Chris O'Donnell
casino,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles,Drama Crime,Drama Crime Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles
clueless,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison,Drama Comedy Romance,Drama Comedy Romance Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison
babe,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn,Fantasy Drama Comedy Family,Fantasy Drama Comedy Family Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn
casper,Christina Ricci Bill Pullman Cathy Moriarty Eric Idle Joe Nipote,Fantasy Comedy Family,Fantasy Comedy Family Christina Ricci Bill Pullman Cathy Moriarty Eric Idle Joe Nipote
it takes two,Kirstie Alley Steve Guttenberg Ashley Olsen Mary-Kate Olsen Jane Sibbett,Comedy Family Romance,Comedy Family Romance Kirstie Alley Steve Guttenberg Ashley Olsen Mary-Kate Olsen Jane Sibbett
four rooms,Tim Roth Antonio Banderas Jennifer Beals Madonna Marisa Tomei,Comedy,Comedy Tim Roth Antonio Banderas Jennifer Beals Madonna Marisa Tomei
waterworld,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Adventure Action,Adventure Action Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann
a goofy movie,Bill Farmer Jason Marsden Rob Paulsen Jim Cummings Kellie Martin,Romance Animation Family Comedy Adventure,Romance Animation Family Comedy Adventure Bill Farmer Jason Marsden Rob Paulsen Jim Cummings Kellie Martin
ace ventura: when nature calls,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton,Comedy,Comedy Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton
the bridges of madison county,Meryl Streep Clint Eastwood Annie Corley Victor Slezak Jim Haynie,Drama Romance,Drama Romance Meryl Streep Clint Eastwood Annie Corley Victor Slezak Jim Haynie
leaving las vegas,Nicolas Cage Elisabeth Shue Julian Sands Richard Lewis Steven Weber,Drama Romance,Drama Romance Nicolas Cage Elisabeth Shue Julian Sands Richard Lewis Steven Weber
the net,Sandra Bullock Jeremy Northam Dennis Miller Wendy Gazelle Ken Howard,Crime Drama Mystery Thriller Action,Crime Drama Mystery Thriller Action Sandra Bullock Jeremy Northam Dennis Miller Wendy Gazelle Ken Howard
a close shave,Peter Sallis Anne Reid,Family Animation Comedy,Family Animation Comedy Peter Sallis Anne Reid
johnny mnemonic,Keanu Reeves Dina Meyer Takeshi Kitano Ice-T Dolph Lundgren,Adventure Action Drama Science Fiction Thriller,Adventure Action Drama Science Fiction Thriller Keanu Reeves Dina Meyer Takeshi Kitano Ice-T Dolph Lundgren
desperado,Antonio Banderas Salma Hayek Joaquim de Almeida Cheech Marin Steve Buscemi,Thriller Action Crime,Thriller Action Crime Antonio Banderas Salma Hayek Joaquim de Almeida Cheech Marin Steve Buscemi
while you were sleeping,Sandra Bullock Bill Pullman Peter Gallagher Peter Boyle Jack Warden,Comedy Drama Romance,Comedy Drama Romance Sandra Bullock Bill Pullman Peter Gallagher Peter Boyle Jack Warden
outbreak,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,Action Drama Science Fiction Thriller,Action Drama Science Fiction Thriller Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.
to die for,Nicole Kidman Matt Dillon Joaquin Phoenix Casey Affleck Illeana Douglas,Fantasy Drama Comedy Thriller,Fantasy Drama Comedy Thriller Nicole Kidman Matt Dillon Joaquin Phoenix Casey Affleck Illeana Douglas
under siege 2: dark territory,Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut,Action Thriller,Action Thriller Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut
cutthroat island,Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide,Action Adventure,Action Adventure Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide
mortal kombat,Christopher Lambert Robin Shou Linden Ashby Cary-Hiroyuki Tagawa Bridgette Wilson,Action Fantasy,Action Fantasy Christopher Lambert Robin Shou Linden Ashby Cary-Hiroyuki Tagawa Bridgette Wilson
sense and sensibility,Kate Winslet Emma Thompson Hugh Grant Tom Wilkinson Alan Rickman,Drama Romance,Drama Romance Kate Winslet Emma Thompson Hugh Grant Tom Wilkinson Alan Rickman
billy madison,Adam Sandler Darren McGavin Bridgette Wilson Bradley Whitford Josh Mostel,Comedy,Comedy Adam Sandler Darren McGavin Bridgette Wilson Bradley Whitford Josh Mostel
mighty morphin power rangers: the movie,Jason David Frank Karan Ashley Johnny Yong Bosch Steve Cardenas Amy Jo Johnson,Action Adventure Science Fiction Family Fantasy,Action Adventure Science Fiction Family Fantasy Jason David Frank Karan Ashley Johnny Yong Bosch Steve Cardenas Amy Jo Johnson
get shorty,John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina,Comedy Thriller Crime,Comedy Thriller Crime John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina
assassins,Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson,Action Adventure Crime Thriller,Action Adventure Crime Thriller Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson
the quick and the dead,Sharon Stone Gene Hackman Russell Crowe Leonardo DiCaprio Tobin Bell,Action Adventure Drama Thriller Western,Action Adventure Drama Thriller Western Sharon Stone Gene Hackman Russell Crowe Leonardo DiCaprio Tobin Bell
french kiss,Meg Ryan Kevin Kline Timothy Hutton Jean Reno Adam Brooks,Comedy Romance,Comedy Romance Meg Ryan Kevin Kline Timothy Hutton Jean Reno Adam Brooks
the land before time iii: the time of the great giving,Scott McAfee Candace Hutson Heather Hogan Jeff Bennett Rob Paulsen,Animation Adventure Family,Animation Adventure Family Scott McAfee Candace Hutson Heather Hogan Jeff Bennett Rob Paulsen
dracula: dead and loving it,Leslie Nielsen Mel Brooks Amy Yasbeck Peter MacNicol Lysette Anthony,Comedy Horror,Comedy Horror Leslie Nielsen Mel Brooks Amy Yasbeck Peter MacNicol Lysette Anthony
copycat,Sigourney Weaver Holly Hunter Will Patton William McNamara Harry Connick Jr.,Drama Thriller,Drama Thriller Sigourney Weaver Holly Hunter Will Patton William McNamara Harry Connick Jr.
tank girl,Lori Petty Ice-T Naomi Watts Malcolm McDowell Iggy Pop,Action Fantasy Comedy Science Fiction,Action Fantasy Comedy Science Fiction Lori Petty Ice-T Naomi Watts Malcolm McDowell Iggy Pop
friday,Ice Cube Chris Tucker Nia Long Tommy 'Tiny' Lister John Witherspoon,Comedy Drama,Comedy Drama Ice Cube Chris Tucker Nia Long Tommy 'Tiny' Lister John Witherspoon
dead man walking,Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey,Drama,Drama Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey
crimson tide,Denzel Washington Gene Hackman Matt Craven George Dzundza Viggo Mortensen,Action Thriller Drama,Action Thriller Drama Denzel Washington Gene Hackman Matt Craven George Dzundza Viggo Mortensen
showgirls,Elizabeth Berkley Gina Gershon Gina Ravera Kyle MacLachlan Glenn Plummer,Drama,Drama Elizabeth Berkley Gina Gershon Gina Ravera Kyle MacLachlan Glenn Plummer
mighty aphrodite,Woody Allen Mira Sorvino Helena Bonham Carter F. Murray Abraham Donald Symington,Comedy Romance,Comedy Romance Woody Allen Mira Sorvino Helena Bonham Carter F. Murray Abraham Donald Symington
dead man,Johnny Depp Gary Farmer Crispin Glover Lance Henriksen Michael Wincott,Drama Fantasy Western,Drama Fantasy Western Johnny Depp Gary Farmer Crispin Glover Lance Henriksen Michael Wincott
a walk in the clouds,Keanu Reeves Aitana SÃ¡nchez-GijÃ³n Anthony Quinn AngÃ©lica AragÃ³n Evangelina Elizondo,Drama Romance,Drama Romance Keanu Reeves Aitana SÃ¡nchez-GijÃ³n Anthony Quinn AngÃ©lica AragÃ³n Evangelina Elizondo
father of the bride part ii,Steve Martin Diane Keaton Martin Short Kimberly Williams-Paisley George Newbern,Comedy,Comedy Steve Martin Diane Keaton Martin Short Kimberly Williams-Paisley George Newbern
balto,Kevin Bacon Bob Hoskins Bridget Fonda Jim Cummings Phil Collins,Family Animation Adventure,Family Animation Adventure Kevin Bacon Bob Hoskins Bridget Fonda Jim Cummings Phil Collins
virtuosity,Denzel Washington Russell Crowe Kelly Lynch William Forsythe Stephen Spinella,Action Crime Science Fiction Thriller,Action Crime Science Fiction Thriller Denzel Washington Russell Crowe Kelly Lynch William Forsythe Stephen Spinella
the prophecy,Christopher Walken Elias Koteas Virginia Madsen Eric Stoltz Adam Goldberg,Fantasy Horror Thriller,Fantasy Horror Thriller Christopher Walken Elias Koteas Virginia Madsen Eric Stoltz Adam Goldberg
the basketball diaries,Leonardo DiCaprio Lorraine Bracco James Madio Mark Wahlberg Bruno Kirby,Drama Crime,Drama Crime Leonardo DiCaprio Lorraine Bracco James Madio Mark Wahlberg Bruno Kirby
dolores claiborne,Kathy Bates Jennifer Jason Leigh Judy Parfitt Christopher Plummer John C. Reilly,Mystery Drama Thriller Crime,Mystery Drama Thriller Crime Kathy Bates Jennifer Jason Leigh Judy Parfitt Christopher Plummer John C. Reilly
